company_bucket,company_folder,file_path,rel_path,company_name,cik,accession_number,form_type,period_of_report,fiscal_year,A_Total_Assets,L_Total_Liabilities,E_Total_Equity,R_Total_Revenue,Pi_Net_Income,Operating_Income,Cash_CashEquiv,Marketable_Securities,H_HQLA_Proxy,BS_Check_LplusE,C_Derived_Cost,BS_Residual_A_minus_L_minus_E,Liquidity_Ratio_H_over_A,Capital_Ratio_E_over_A,Lambda_Assumed,Kappa_Assumed,Liquidity_Pass_H_ge_lambdaA,Capital_Pass_E_ge_kappaA,flags,period_dt,q_year,q_num,form_pri,completeness,predicted_bucket,confidence,flag_unknown,p_nonhealthy,p_failed,p_healthy,p_risky,pd_raw,pd_used,EAD_used,LGD_used
risky,Datadog,data/risky/Datadog/0001561550-25-000313.txt,risky/Datadog/0001561550-25-000313.txt,"Datadog, Inc.",1561550.0,0001561550-25-000313,10-Q,20250930,2025,6052470000.0,2613352000.0,3439118000.0,885651000.0,33885000.0,5809000.0,540602000.0,,540602000.0,6052470000.0,851766000.0,0.0,0.089319236609186,0.5682172732785128,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly,2025-09-30,2025,3,0,6,risky,0.4697089195480063,0,0.5779857537501014,0.2391036828226941,0.2911873976292996,0.4697089195480063,0.4739581425966972,0.4739581425966972,1.0,0.45
risky,DocuSign,data/risky/DocuSign/0001261333-25-000132.txt,risky/DocuSign/0001261333-25-000132.txt,"DOCUSIGN, INC.",1261333.0,0001261333-25-000132,10-Q,20250731,2025,3949923000.0,1961948000.0,1987975000.0,784388000.0,62970000.0,65227000.0,616286000.0,,616286000.0,3949923000.0,721418000.0,0.0,0.156024813648266,0.5032946211862864,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-07-31,2025,3,0,6,risky,0.376202452856293,0,0.6076570977676007,0.3569037397245767,0.2668938074191302,0.376202452856293,0.5450049661527232,0.5450049661527232,1.0,0.45
risky,Etsy,data/risky/Etsy/0001370637-25-000100.txt,risky/Etsy/0001370637-25-000100.txt,ETSY INC,1370637.0,0001370637-25-000100,10-Q,20250930,2025,2652811000.0,3765395000.0,-1112584000.0,678026000.0,75503000.0,82711000.0,1250902000.0,,1250902000.0,2652811000.0,602523000.0,0.0,0.4715383040857415,-0.4193981403122951,0.05,0.08,True,False,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-09-30,2025,3,0,6,healthy,0.4916170329541243,0,0.3110411513798491,0.1887646945510122,0.4916170329541243,0.3196182724948634,0.3485738307984439,0.3485738307984439,1.0,0.45
failed,Fisker Inc,data/failed/Fisker Inc/0001720990-23-000089.txt,failed/Fisker Inc/0001720990-23-000089.txt,Fisker Inc./DE,1720990.0,0001720990-23-000089,10-Q,20230630,2023,1730288000.0,1305861000.0,424427000.0,825000.0,82607000.0,,521782000.0,,521782000.0,1730288000.0,-81782000.0,0.0,0.3015578909406989,0.2452926911589284,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL;SANITY_DROP_OperatingIncome_OutOfRange,2023-06-30,2023,2,0,6,failed,0.5417374688562826,0,0.7928251139560779,0.5417374688562826,0.1544010894957747,0.3038614416479426,0.6936681896802539,0.6936681896802539,1.0,0.45
failed,GoPro,data/failed/GoPro/0001500435-25-000095.txt,failed/GoPro/0001500435-25-000095.txt,"GoPro, Inc.",1500435.0,0001500435-25-000095,10-Q,20250930,2025,538608000.0,458114000.0,80494000.0,162918000.0,21252000.0,15885000.0,152800000.0,,152800000.0,538608000.0,141666000.0,0.0,0.2836942637316935,0.1494482072304904,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-09-30,2025,3,0,6,failed,0.4466380354457493,0,0.668005732759721,0.4466380354457493,0.1914190717718053,0.3619428927824453,0.627609481836972,0.627609481836972,1.0,0.45
failed,Groupon,data/failed/Groupon/0001628280-25-050187.txt,failed/Groupon/0001628280-25-050187.txt,"Groupon, Inc.",1490281.0,0001628280-25-050187,10-Q,20250930,2025,608177000.0,667564000.0,-59387000.0,122825000.0,118373000.0,2194000.0,267806000.0,,267806000.0,608177000.0,4452000.0,0.0,0.440342203009979,-0.0976475598386653,0.05,0.08,True,False,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-09-30,2025,3,0,6,failed,0.4649468412250466,0,0.7390509691543931,0.4649468412250466,0.2247311800860632,0.3103219786888901,0.6201078305694916,0.6201078305694916,1.0,0.45
healthy,IBM,data/healthy/IBM/0000051143-25-000064.txt,healthy/IBM/0000051143-25-000064.txt,INTERNATIONAL BUSINESS MACHINES CORP,51143.0,0000051143-25-000064,10-Q,20250930,2025,146312000000.0,118322000000.0,27990000000.0,7724000000.0,1744000000.0,2430000000.0,11600000000.0,,11600000000.0,146312000000.0,5980000000.0,0.0,0.079282628902619,0.1913035157745092,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-09-30,2025,3,0,6,healthy,0.4828545277623926,0,0.3604739066399054,0.2180744299826341,0.4828545277623926,0.2990710422549732,0.36760995111012074,0.36760995111012074,1.0,0.45
healthy,KLA Corp,data/healthy/KLA Corp/0000319201-25-000034.txt,healthy/KLA Corp/0000319201-25-000034.txt,KLA CORP,319201.0,0000319201-25-000034,10-Q,20250930,2025,16317974000.0,11332903000.0,4985071000.0,2465006000.0,1121040000.0,1309476000.0,1946211000.0,,1946211000.0,16317974000.0,1343966000.0,0.0,0.119267931178221,0.3054957067586944,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly,2025-09-30,2025,3,0,6,healthy,0.4974067922897305,0,0.3050916537211289,0.2282507805631889,0.4974067922897305,0.2743424271470807,0.36542199413672927,0.36542199413672927,1.0,0.45
healthy,Meta,data/healthy/Meta/0001628280-25-047240.txt,healthy/Meta/0001628280-25-047240.txt,"Meta Platforms, Inc.",1326801.0,0001628280-25-047240,10-Q,20250930,2025,303844000000.0,109778000000.0,194066000000.0,51242000000.0,2709000000.0,20535000000.0,11941000000.0,34261000000.0,46202000000.0,303844000000.0,48533000000.0,0.0,0.1520582930714445,0.6387027553613038,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL,2025-09-30,2025,3,0,6,failed,0.3759936326214967,0,0.5104911376278816,0.3759936326214967,0.3308825972695272,0.293123770108976,0.5225555176759847,0.5225555176759847,1.0,0.45
healthy,Micron Technology,data/healthy/Micron Technology/0000723125-25-000028.txt,healthy/Micron Technology/0000723125-25-000028.txt,MICRON TECHNOLOGY INC,723125.0,0000723125-25-000028,8-K,20250828,2025,82798000000.0,28633000000.0,54165000000.0,,,,9646000000.0,,9646000000.0,82798000000.0,,0.0,0.1165003985603517,0.6541824681755598,0.05,0.08,True,True,SGML_Primary_HTMLFallback;InlineXBRL;HProxyIsCashOnly;8K_QuarterEnd_Inferred,2025-08-28,2025,3,1,4,healthy,0.3758584691842743,0,0.4481481372775249,0.3594088588564932,0.3758584691842743,0.2647326719592326,0.49177519483610954,0.49177519483610954,1.0,0.45
healthy,Microsoft,data/healthy/Microsoft/0001193125-25-256321.txt,healthy/Microsoft/0001193125-25-256321.txt,MICROSOFT CORP,789019.0,0001193125-25-256321,10-Q,20250930,2025,636351000000.0,273275000000.0,363076000000.0,15922000000.0,27747000000.0,37961000000.0,28849000000.0,73163000000.0,102012000000.0,636351000000.0,-11825000000.0,0.0,0.1603077546825572,0.5705593296781178,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL,2025-09-30,2025,3,0,6,healthy,0.4131897856254847,0,0.4730836106434379,0.3689775338404943,0.4131897856254847,0.2178326805340209,0.4778938741075048,0.4778938741075048,1.0,0.45
risky,MongoDB,data/risky/MongoDB/0001628280-25-054768.txt,risky/MongoDB/0001628280-25-054768.txt,"MongoDB, Inc.",1441816.0,0001628280-25-054768,10-Q,20251031,2025,3566649000.0,678210000.0,2888439000.0,609067000.0,2007000.0,18424000.0,837170000.0,909390000.0,1746560000.0,3566649000.0,607060000.0,0.0,0.4896921452040837,0.8098467216706774,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-10-31,2025,4,0,6,risky,0.6046731221976572,0,0.7357413599692674,0.1432421362122176,0.2520847415901251,0.6046731221976572,0.4455786973110462,0.4455786973110462,1.0,0.45
failed,Nikola,data/failed/Nikola/0001731289-25-000065.txt,failed/Nikola/0001731289-25-000065.txt,Nikola Corp,1731289.0,0001731289-25-000065,8-K,20241231,2024,596177000.0,488755000.0,107422000.0,,,,121612000.0,,121612000.0,596177000.0,,0.0,0.2039864000120769,0.1801847437925314,0.05,0.08,True,True,SGML_Primary_HTMLFallback;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL;8K_QuarterEnd_Inferred,2024-12-31,2024,4,1,4,failed,0.4519039472818507,0,0.6372327417829885,0.4519039472818507,0.2241079574949789,0.3239880952231703,0.6138979948934358,0.6138979948934358,1.0,0.45
healthy,Nvidia,data/healthy/Nvidia/0001045810-25-000230.txt,healthy/Nvidia/0001045810-25-000230.txt,NVIDIA CORP,1045810.0,0001045810-25-000230,10-Q,20251026,2025,161148000000.0,42251000000.0,118897000000.0,57006000000.0,31910000000.0,36010000000.0,11486000000.0,49122000000.0,60608000000.0,161148000000.0,25096000000.0,0.0,0.3761014719388388,0.7378124457020875,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL,2025-10-26,2025,4,0,6,healthy,0.4965510990622332,0,0.3062108697156562,0.2790062750017874,0.4965510990622332,0.2244426259359793,0.391227587969777,0.391227587969777,1.0,0.45
healthy,Oracle,data/healthy/Oracle/0001193125-25-200095.txt,healthy/Oracle/0001193125-25-200095.txt,ORACLE CORP,1341439.0,0001193125-25-200095,10-Q,20250831,2025,180449000000.0,155783000000.0,39378000000.0,14926000000.0,2927000000.0,4277000000.0,10445000000.0,,10445000000.0,180449000000.0,11999000000.0,-14712000000.0,0.057883390874984,0.2182223232048944,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;DerivedL_SumCurrentNoncurrent;HProxyIsCashOnly,2025-08-31,2025,3,0,6,healthy,0.5142629991768594,0,0.4463320125140288,0.1413241507829365,0.5142629991768594,0.3444128500402041,0.31353057580303856,0.31353057580303856,1.0,0.45
risky,Paypal,data/risky/Paypal/0001633917-25-000196.txt,risky/Paypal/0001633917-25-000196.txt,"PayPal Holdings, Inc.",1633917.0,0001633917-25-000196,10-Q,20250930,2025,79801000000.0,59603000000.0,20198000000.0,8417000000.0,1248000000.0,1520000000.0,23853000000.0,1760000000.0,25613000000.0,79801000000.0,7169000000.0,0.0,0.3209608902144083,0.2531045976867457,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-09-30,2025,3,0,6,risky,0.4760852320513533,0,0.6637948795055767,0.2501730357785419,0.2737417321701048,0.4760852320513533,0.48821565180421855,0.48821565180421855,1.0,0.45
risky,Peloton,data/risky/Peloton/0001639825-25-000185.txt,risky/Peloton/0001639825-25-000185.txt,"PELOTON INTERACTIVE, INC.",1639825.0,0001639825-25-000185,10-Q,20250930,2025,2170100000.0,2517200000.0,-347100000.0,152400000.0,13900000.0,41300000.0,1149600000.0,,1149600000.0,2170100000.0,138500000.0,0.0,0.5297451730335008,-0.1599465462421086,0.05,0.08,True,False,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-09-30,2025,3,0,6,healthy,0.5175487443394885,0,0.2957926689547301,0.2203936562494208,0.5175487443394885,0.2620575994110906,0.35142245595496613,0.35142245595496613,1.0,0.45
risky,Pinterest,data/risky/Pinterest/0001506293-25-000229.txt,risky/Pinterest/0001506293-25-000229.txt,"PINTEREST, INC.",1506293.0,0001506293-25-000229,10-Q,20250930,2025,5515410000.0,690442000.0,4969510000.0,1049205000.0,92108000.0,58516000.0,1137200000.0,,1137200000.0,5515410000.0,957097000.0,-144542000.0,0.2061859408457395,0.9010227707459644,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly,2025-09-30,2025,3,0,6,healthy,0.4465597959990135,0,0.539545072669087,0.1564262862528323,0.4465597959990135,0.3970139177481541,0.3549332451269094,0.3549332451269094,1.0,0.45
healthy,QualComm,data/healthy/QualComm/0000804328-25-000085.txt,healthy/QualComm/0000804328-25-000085.txt,QUALCOMM INC/DE,804328.0,0000804328-25-000085,10-Q,20250928,2025,50143000000.0,28937000000.0,21206000000.0,44284000000.0,5541000000.0,12355000000.0,5520000000.0,4635000000.0,10155000000.0,50143000000.0,38743000000.0,0.0,0.2025207905390583,0.4229104760385298,0.05,0.08,True,True,SGML_Primary_HTMLFallback;InlineXBRL,2025-09-28,2025,3,0,6,failed,0.3684304083214701,0,0.5606464148037547,0.3684304083214701,0.2887948721269588,0.3427747195515708,0.5398177680972556,0.5398177680972556,1.0,0.45
risky,Roku,data/risky/Roku/0001628280-25-047808.txt,risky/Roku/0001628280-25-047808.txt,"ROKU, INC",1428439.0,0001628280-25-047808,10-Q,20250930,2025,4397285000.0,1772199000.0,2625086000.0,1064644000.0,24812000.0,9466000.0,1575491000.0,726875000.0,2302366000.0,4397285000.0,1039832000.0,0.0,0.523588077643364,0.5969788176113215,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-09-30,2025,3,0,6,risky,0.4468082005149821,0,0.6439033307369321,0.2903959771778802,0.2627958223071377,0.4468082005149821,0.5138000774353713,0.5138000774353713,1.0,0.45
healthy,Salesforce,data/healthy/Salesforce/0001108524-25-000088.txt,healthy/Salesforce/0001108524-25-000088.txt,"Salesforce, Inc.",1108524.0,0001108524-25-000088,10-Q,20250731,2025,97573000000.0,36245000000.0,66701000000.0,9690000000.0,1887000000.0,2332000000.0,10365000000.0,,10365000000.0,97573000000.0,7803000000.0,-5373000000.0,0.1062281573796029,0.6836009961772211,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly,2025-07-31,2025,3,0,6,healthy,0.4883243177455822,0,0.3690461500390982,0.1529931921889728,0.4883243177455822,0.3586824900654449,0.33233443722169526,0.33233443722169526,1.0,0.45
failed,SmileDirectClub,data/failed/SmileDirectClub/0001775625-23-000099.txt,failed/SmileDirectClub/0001775625-23-000099.txt,"SmileDirectClub, Inc.",1775625.0,0001775625-23-000099,10-Q,20230630,2023,498712000.0,988823000.0,-490111000.0,84001000.0,17774000.0,45000000.0,57992000.0,,57992000.0,498712000.0,66227000.0,0.0,0.1162835464155665,-0.982753573204575,0.05,0.08,True,False,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2023-06-30,2023,2,0,6,failed,0.4772722046314914,0,0.5972671245710983,0.4772722046314914,0.2449285696245978,0.2777992257439108,0.6161718175034467,0.6161718175034467,1.0,0.45
risky,Snapchat,data/risky/Snapchat/0001564408-25-000065.txt,risky/Snapchat/0001564408-25-000065.txt,Snap Inc,1564408.0,0001564408-25-000065,10-Q,20250930,2025,7577950000.0,5350600000.0,2227350000.0,1506839000.0,103541000.0,128362000.0,955499000.0,2040060000.0,2995559000.0,7577950000.0,1403298000.0,0.0,0.3952993883570095,0.293925138065044,0.05,0.08,True,True,SGML_Primary_SEQ1;InlineXBRL;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2025-09-30,2025,3,0,6,risky,0.4853122199951272,0,0.7071932562896279,0.2854700107456393,0.2292177692592335,0.4853122199951272,0.5281261207432029,0.5281261207432029,1.0,0.45
failed,SunEdison,data/failed/SunEdison/d185590dex101.htm,failed/SunEdison/d185590dex101.htm,SunEdison,,,10-Q,20150930,2015,1000000.0,,,15000000.0,,,1.01,,1.01,,,,1.01e-06,,0.05,0.08,False,,SGML_Primary_HTMLFallback;MissingH;LabelFallback_Tight;HProxyIsCashOnly,2015-09-30,2015,3,0,3,failed,0.4270978355823286,0,0.5675671578188847,0.4270978355823286,0.2609052140016503,0.3119969504160211,0.5830963107903392,0.5830963107903392,1.0,0.45
