company_bucket,company_folder,file_path,rel_path,company_name,cik,accession_number,form_type,period_of_report,fiscal_year,A_Total_Assets,L_Total_Liabilities,E_Total_Equity,R_Total_Revenue,Pi_Net_Income,Operating_Income,Cash_CashEquiv,Marketable_Securities,H_HQLA_Proxy,BS_Check_LplusE,C_Derived_Cost,BS_Residual_A_minus_L_minus_E,Liquidity_Ratio_H_over_A,Capital_Ratio_E_over_A,Lambda_Assumed,Kappa_Assumed,Liquidity_Pass_H_ge_lambdaA,Capital_Pass_E_ge_kappaA,flags,period_dt,q_year,q_num,form_pri,completeness
failed,SmileDirectClub,data/failed/SmileDirectClub/0001775625-22-000020.txt,failed/SmileDirectClub/0001775625-22-000020.txt,"SmileDirectClub, Inc.",0001775625,0001775625-22-000020,8-K,20211231,2021,794558000.0,928912000.0,-134354000.0,,29261000.0,93220000.0,224860000.0,,224860000.0,794558000.0,,0.0,0.2830001082362773,-0.16909275345538022,0.05,0.08,True,False,SGML_Primary_HTMLFallback;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL;8K_QuarterEnd_Inferred,2021-12-31,2021,4,1,5
failed,SmileDirectClub,data/failed/SmileDirectClub/0001775625-22-000044.txt,failed/SmileDirectClub/0001775625-22-000044.txt,"SmileDirectClub, Inc.",0001775625,0001775625-22-000044,10-Q,20220331,2022,710250000.0,913787000.0,-203537000.0,129030000.0,22581000.0,71688000.0,144747000.0,,144747000.0,710250000.0,106449000.0,0.0,0.20379725448785638,-0.2865709257303766,0.05,0.08,True,False,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2022-03-31,2022,1,0,6
failed,SmileDirectClub,data/failed/SmileDirectClub/0001775625-22-000074.txt,failed/SmileDirectClub/0001775625-22-000074.txt,"SmileDirectClub, Inc.",0001775625,0001775625-22-000074,10-Q,20220630,2022,700560000.0,959096000.0,-258536000.0,107019000.0,20305000.0,54958000.0,158264000.0,,158264000.0,700560000.0,86714000.0,0.0,0.22591070001141944,-0.3690419093296791,0.05,0.08,True,False,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2022-06-30,2022,2,0,6
failed,SmileDirectClub,data/failed/SmileDirectClub/0001775625-22-000093.txt,failed/SmileDirectClub/0001775625-22-000093.txt,"SmileDirectClub, Inc.",0001775625,0001775625-22-000093,10-Q,20220930,2022,631796000.0,953665000.0,-321869000.0,87164000.0,21674000.0,62310000.0,120181000.0,,120181000.0,631796000.0,65490000.0,0.0,0.19022121064394204,-0.5094508353962355,0.05,0.08,True,False,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2022-09-30,2022,3,0,6
failed,SmileDirectClub,data/failed/SmileDirectClub/0001775625-23-000059.txt,failed/SmileDirectClub/0001775625-23-000059.txt,"SmileDirectClub, Inc.",0001775625,0001775625-23-000059,10-Q,20230331,2023,545606000.0,987479000.0,-441873000.0,99311000.0,21419000.0,59181000.0,86254000.0,,86254000.0,545606000.0,77892000.0,0.0,0.15808843744386974,-0.8098756245349208,0.05,0.08,True,False,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2023-03-31,2023,1,0,6
failed,SmileDirectClub,data/failed/SmileDirectClub/0001775625-23-000099.txt,failed/SmileDirectClub/0001775625-23-000099.txt,"SmileDirectClub, Inc.",0001775625,0001775625-23-000099,10-Q,20230630,2023,498712000.0,988823000.0,-490111000.0,84001000.0,17774000.0,45000000.0,57992000.0,,57992000.0,498712000.0,66227000.0,0.0,0.1162835464155665,-0.982753573204575,0.05,0.08,True,False,SGML_Primary_SEQ1;InlineXBRL;HProxyIsCashOnly;SANITY_FAIL_BS_MISMATCH;SALVAGE_DerivedE_AminusL,2023-06-30,2023,2,0,6
failed,SunEdison,data/failed/SunEdison/0001193125-06-169531.txt,failed/SunEdison/0001193125-06-169531.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-06-169531,10-Q,20050331,2005,,,,,35906000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2005-03-31,2005,1,0,1
failed,SunEdison,data/failed/SunEdison/d10qa.htm,failed/SunEdison/d10qa.htm,SunEdison,,,10-Q,20050630,2005,,,,,1.0,1.0,1.0,8651.0,8652.0,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;MissingH;LabelFallback_Tight,2005-06-30,2005,2,0,2
failed,SunEdison,data/failed/SunEdison/0001193125-06-169538.txt,failed/SunEdison/0001193125-06-169538.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-06-169538,10-Q,20050930,2005,,,,,59720000.0,,,,,,,,,,0.05,0.08,,,SGML_Primary_SEQ1;HTMLTables_Targeted;HTML:Pi_Net_Income;MissingH,2005-09-30,2005,3,0,1
failed,SunEdison,data/failed/SunEdison/0001193125-06-169543.txt,failed/SunEdison/0001193125-06-169543.txt,MEMC ELECTRONIC MATERIALS INC,0000945436,0001193125-06-169543,10-Q,20051231,2005,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,0.05,0.08,,,SGML_Primary_HTMLFallback;MissingH;LabelFallback_Tight,2005-12-31,2005,4,0,2
